iter	Passed	Remaining
0	203	406030
1	377	377563
2	568	378626
3	727	363018
4	909	362895
5	1070	355783
6	1239	352949
7	1398	348303
8	1549	342721
9	1711	340506
10	1869	337970
11	2043	338471
12	2205	337074
13	2362	335137
14	2538	335920
15	2706	335644
16	2875	335421
17	3048	335711
18	3195	333155
19	3342	330903
20	3509	330713
21	3672	330230
22	3832	329402
23	4004	329719
24	4181	330373
25	4345	329937
26	4519	330238
27	4679	329576
28	4830	328304
29	5007	328840
30	5168	328257
31	5340	328468
32	5504	328086
33	5666	327679
34	5816	326534
35	5968	325623
36	6140	325793
37	6298	325175
38	6463	324973
39	6624	324609
40	6799	324862
41	6954	324198
42	7126	324333
43	7284	323825
44	7445	323451
45	7618	323623
46	7776	323150
47	7944	323084
48	8105	322730
49	8281	322992
50	8439	322514
51	8587	321706
52	8739	321056
53	8899	320707
54	9047	319941
55	9209	319706
56	9352	318815
57	9521	318795
58	9685	318624
59	9860	318836
60	10017	318432
61	10179	318180
62	10339	317910
63	10506	317816
64	10645	316916
65	10789	316167
66	10958	316155
67	11117	315862
68	11267	315315
69	11427	315077
70	11567	314271
71	11713	313654
72	11879	313586
73	12046	313541
74	12201	313166
75	12353	312731
76	12513	312521
77	12677	312385
78	12829	311959
79	12967	311227
80	13123	310912
81	13268	310362
82	13431	310213
83	13595	310097
84	13761	310043
85	13916	309726
86	14066	309293
87	14242	309453
88	14380	308781
89	14540	308575
90	14694	308261
91	14842	307810
92	14993	307446
93	15140	306990
94	15288	306573
95	15444	306319
96	15589	305842
97	15765	305983
98	15917	305653
99	16061	305174
100	16224	305052
101	16376	304736
102	16536	304568
103	16696	304385
104	16839	303904
105	16990	303585
106	17153	303470
107	17317	303381
108	17466	303026
109	17630	302920
110	17778	302556
111	17932	302299
112	18104	302322
113	18255	302009
114	18408	301747
115	18556	301378
116	18705	301050
117	18853	300695
118	19010	300489
119	19167	300286
120	19313	299910
121	19448	299386
122	19593	299000
123	19738	298626
124	19913	298700
125	20064	298424
126	20217	298163
127	20378	298032
128	20525	297696
129	20686	297574
130	20850	297483
131	20979	296890
132	21108	296317
133	21252	295954
134	21401	295651
135	21559	295496
136	21703	295134
137	21853	294862
138	21984	294335
139	22132	294045
140	22265	293555
141	22407	293192
142	22567	293058
143	22704	292631
144	22860	292453
145	23009	292183
146	23169	292057
147	23346	292145
148	23511	292075
149	23656	291765
150	23833	291846
151	23987	291639
152	24146	291497
153	24316	291486
154	24450	291039
155	24591	290684
156	24740	290421
157	24890	290177
158	25040	289938
159	25174	289502
160	25322	289238
161	25481	289102
162	25648	289057
163	25788	288701
164	25933	288416
165	26091	288258
166	26239	288001
167	26393	287811
168	26536	287505
169	26677	287175
170	26809	286754
171	26960	286536
172	27091	286102
173	27250	285973
174	27389	285636
175	27532	285334
176	27667	284958
177	27819	284762
178	27958	284423
179	28103	284153
180	28252	283934
181	28383	283523
182	28512	283104
183	28670	282965
184	28807	282628
185	28965	282496
186	29103	282166
187	29257	281989
188	29396	281677
189	29549	281500
190	29701	281305
191	29845	281044
192	29975	280649
193	30114	280341
194	30253	280035
195	30395	279759
196	30544	279550
197	30711	279505
198	30849	279193
199	30979	278811
200	31135	278673
201	31276	278387
202	31423	278166
203	31572	277957
204	31738	277908
205	31894	277759
206	32040	277529
207	32195	277379
208	32362	277327
