feature,importance
EXT_SOURCE_2,45589.602737903595
EXT_SOURCE_3,44375.98912715912
EXT_SOURCE_1,14126.619539737701
DAYS_BIRTH,7247.042103290558
INST_RECENT_INST_PAYMENT_RATIO,6794.206217765808
AMT_ANNUITY,5281.294164657593
DOC_PER_CREDIT_UNIT,5243.990385055542
DAYS_EMPLOYED,4689.394037246704
INST_RECENT_INST_PAID_LATE,4355.8063678741455
CODE_GENDER,4347.931348800659
BUREAU_DEBT_CREDIT_RATIO,4131.004804611206
BUREAU_DAYS_CREDIT_MAX,3860.12518453598
NAME_EDUCATION_TYPE,3615.2711086273193
AMT_GOODS_PRICE,3514.789538383484
POS_CNT_INSTALMENT_FUTURE_MEAN,3472.854371070862
PREV_APP_CREDIT_RATIO,3312.008629798889
AMT_CREDIT,3272.772256374359
POS_AVG_COMPLETION,3089.4818387031555
DAYS_ID_PUBLISH,2848.885153770447
PREV_PREV_APP_REFUSED_MEAN,2721.1891469955444
INST_PAYMENT_COMPLETION_RATE,2715.752342224121
BUREAU_DAYS_CREDIT_ENDDATE_MAX,2644.687258243561
DAYS_REGISTRATION,2600.5296959877014
INST_AMT_PAYMENT_SUM,2332.7884826660156
BUREAU_DAYS_ENDDATE_FACT_MAX,2180.2072625160217
PREV_CNT_PAYMENT_MEAN,2068.2313709259033
BUREAU_AMT_CREDIT_SUM_MEAN,1941.224802494049
DAYS_LAST_PHONE_CHANGE,1912.576626777649
INST_RECENT_INST_DPD,1910.8223161697388
PREV_APPROVAL_RATE,1896.0383033752441
PREV_AMT_DOWN_PAYMENT_SUM,1819.0996236801147
CC_VERY_RECENT_CC_UTILIZATION,1739.671443939209
POS_MONTHS_BALANCE_MIN,1733.7444458007812
BUREAU_AMT_CREDIT_SUM_DEBT_STD,1706.9414281845093
CC_DRAWING_TO_PAYMENT_RATIO,1672.736554145813
INST_INST_DPD_SUM,1653.350224018097
CC_CC_OVER_LIMIT_MEAN,1605.5869913101196
BUREAU_AMT_CREDIT_SUM_MIN,1564.1998138427734
ORGANIZATION_TYPE,1543.2332577705383
OWN_CAR_AGE,1538.9114179611206
